City,lat,lon,temp,wind_speed,humidity,cloudiness
puerto ayora,-0.74,-90.35,300.15,4.6,74.0,20.0
constitucion,23.99,-104.67,291.15,4.1,31.0,90.0
paamiut,61.99,-49.67,269.893,1.49,100.0,48.0
castro,-42.48,-73.76,286.15,2.1,82.0,8.0
atar,20.52,-13.05,286.518,1.62,18.0,0.0
necochea,-38.55,-58.74,295.343,4.52,65.0,88.0
manta,45.1,24.1,261.868,2.39,54.0,0.0
chuy,-33.69,-53.46,295.018,3.37,97.0,88.0
darhan,49.49,105.92,252.143,3.94,39.0,0.0
gondanglegi,-7.75,112.01,297.268,1.94,95.0,20.0
morrinhos,-3.23,-40.13,297.343,2.19,97.0,20.0
namibe,-15.19,12.15,295.393,2.42,100.0,32.0
bethel,60.79,-161.76,276.74,8.7,69.0,90.0
gat,14.69,-16.54,294.99,7.7,88.0,8.0
laguna,27.52,-110.01,292.15,2.1,59.0,90.0
preston,53.76,-2.71,279.8,4.6,81.0,75.0
sinnamary,5.38,-52.96,298.893,4.04,98.0,80.0
hamilton,32.3,-64.78,292.15,10.8,82.0,90.0
fairbanks,64.84,-147.72,253.76,1.29,85.0,1.0
bandipur,11.67,76.63,285.268,0.72,88.0,12.0
kalmar,56.66,16.36,273.15,8.7,67.0,0.0
faya,18.39,42.45,284.15,0.99,17.0,0.0
azul,-36.78,-59.86,296.268,2.39,78.0,80.0
tasiilaq,65.61,-37.64,262.15,6.2,61.0,64.0
adrar,27.87,-0.29,280.15,2.6,36.0,0.0
sangar,63.92,127.47,238.868,0.77,48.0,36.0
makaha,21.47,-158.22,299.19,3.6,73.0,90.0
zhigansk,66.77,123.37,235.843,1.47,66.0,8.0
honiara,-9.43,159.96,299.668,1.07,90.0,56.0
sitka,37.17,-99.65,278.018,1.39,80.0,0.0
la ronge,55.1,-105.3,269.15,2.6,92.0,90.0
malanje,-9.54,16.35,292.943,2.74,86.0,48.0
pangnirtung,66.15,-65.72,246.993,2.17,66.0,64.0
nanortalik,60.14,-45.24,270.943,4.17,89.0,92.0
norman wells,65.28,-126.83,250.15,3.1,63.0,40.0
madang,-5.21,145.81,300.268,1.12,98.0,20.0
camalu,30.85,-116.07,289.443,5.84,69.0,64.0
nishihara,35.74,139.53,277.72,2.1,60.0,75.0
karratha,-20.74,116.85,302.193,2.39,69.0,12.0
nchelenge,-9.35,28.74,292.618,3.09,100.0,92.0
bubaque,11.28,-15.83,299.268,3.02,100.0,0.0
tiksi,71.64,128.87,234.843,1.47,73.0,44.0
hasaki,35.73,140.83,278.09,1.0,60.0,75.0
guiratinga,-16.35,-53.76,299.368,1.37,68.0,36.0
dikson,73.51,80.55,260.393,9.54,92.0,76.0
raudeberg,61.99,5.14,273.15,5.1,99.0,92.0
parapotamos,39.55,20.32,279.15,1.14,93.0,40.0
atbasar,51.81,68.36,268.093,1.29,90.0,88.0
aksarka,66.56,67.8,255.593,3.74,73.0,64.0
kavieng,-2.57,150.8,298.693,3.14,100.0,80.0
trairi,-3.28,-39.27,299.768,2.82,100.0,12.0
pendleton,34.65,-82.78,279.58,1.57,88.0,90.0
airai,-8.93,125.41,297.918,0.84,80.0,20.0
hithadhoo,-0.6,73.08,300.793,1.84,100.0,80.0
fortuna,38.18,-1.13,280.65,0.82,61.0,0.0
dawlatabad,36.41,64.91,281.443,1.02,69.0,88.0
orlik,52.51,99.83,238.918,0.84,39.0,0.0
bathsheba,13.22,-59.52,298.15,5.7,73.0,20.0
holme,53.7,-2.31,279.83,2.6,81.0,75.0
turukhansk,65.8,87.96,262.543,7.29,77.0,80.0
esperance,10.24,-61.45,298.15,2.69,78.0,20.0
sioux lookout,50.1,-91.92,261.15,1.5,92.0,1.0
manicore,-5.81,-61.3,298.618,0.92,90.0,44.0
narni,42.52,12.52,270.75,9.8,53.0,0.0
kutum,14.2,24.66,282.918,1.57,77.0,8.0
zeitz,51.05,12.13,274.67,7.2,80.0,88.0
okhotsk,59.36,143.24,246.993,3.39,100.0,56.0
cukai,4.25,103.42,298.62,2.1,88.0,75.0
margate,-43.03,147.26,299.15,5.7,50.0,0.0
mecca,21.43,39.83,288.543,1.39,90.0,36.0
san jose ojetenan,15.22,-91.97,298.15,0.57,88.0,40.0
muli,22.62,71.45,283.268,3.27,83.0,0.0
sambava,-14.27,50.17,298.518,6.17,100.0,88.0
harrisonburg,38.45,-78.87,271.8,0.24,89.0,90.0
portland,45.52,-122.67,278.4,13.9,52.0,20.0
dakar,14.69,-17.45,293.74,7.7,88.0,8.0
fot,-9.47,124.34,297.268,0.89,88.0,56.0
havre-saint-pierre,50.23,-63.6,264.15,3.6,78.0,90.0
upernavik,72.79,-56.15,249.168,7.92,100.0,20.0
san luis,-33.3,-66.34,290.518,4.07,73.0,92.0
botshabelo,-29.23,26.73,295.15,3.1,28.0,0.0
ancud,-41.87,-73.83,286.15,2.1,82.0,0.0
matara,-13.74,-72.9,282.643,0.89,82.0,80.0
harper,30.3,-99.24,280.19,1.74,69.0,90.0
maceio,-9.67,-35.74,297.15,1.0,88.0,75.0
puerto madryn,-42.77,-65.04,296.743,9.24,50.0,0.0
lazo,47.89,27.93,268.443,3.72,88.0,12.0
hualmay,-11.1,-77.61,295.043,2.57,82.0,24.0
ilulissat,69.22,-51.1,250.15,3.6,52.0,36.0
kununurra,-15.77,128.74,304.15,2.1,66.0,40.0
aloleng,16.13,119.78,297.618,4.82,95.0,0.0
inirida,3.87,-67.92,297.993,0.89,93.0,44.0
ishigaki,24.34,124.16,297.15,3.6,64.0,20.0
barentu,15.11,37.59,285.618,1.12,74.0,0.0
marsaxlokk,35.84,14.54,286.15,6.7,82.0,20.0
nikitinskiy,45.0,37.87,280.15,5.0,75.0,88.0
ucluelet,48.94,-125.55,278.15,1.0,93.0,5.0
aripuana,-9.17,-60.63,299.293,1.39,80.0,32.0
roshni-chu,43.09,45.45,272.15,2.0,100.0,90.0
mayumba,-3.44,10.65,298.168,1.84,100.0,80.0
tshikapa,-6.42,20.79,294.943,1.02,96.0,88.0
blackpool,51.91,-8.47,278.15,4.1,100.0,75.0
ust-nera,64.57,143.24,223.193,0.62,0.0,12.0
isangel,-19.55,169.27,298.943,5.34,100.0,68.0
stephenville,32.22,-98.2,279.71,1.34,71.0,90.0
vitim,59.44,112.57,250.843,1.17,62.0,64.0
vostok,46.45,135.83,259.993,1.12,83.0,68.0
krasnovishersk,60.4,57.08,263.343,3.97,88.0,76.0
richards bay,-28.77,32.06,296.418,1.12,99.0,36.0
